#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"S. Faber";"CDA";"J.A. v. Kemenade";"PvdA";"1980.06.24";"http://polidocs.nl/XML/MOT/1970028.xml"
"S. Faber";"CDA";"M.B. Engwirda";"D66";"1980.06.24";"http://polidocs.nl/XML/MOT/1970028.xml"
"J.F. Snijder-Hazelhoff";"VVD";"J.J. Atsma";"CDA";"2004.11.16";"http://polidocs.nl/XML/MOT/2050588.xml"
"J.F. Snijder-Hazelhoff";"VVD";"C.G. v.d. Staaij";"SGP";"2004.11.16";"http://polidocs.nl/XML/MOT/2050588.xml"
"L.W.S.A.L.B. v.d. Laan";"D66";"C.B. Aptroot";"VVD";"2003.10.08";"http://polidocs.nl/XML/MOT/2033130.xml"
"L.W.S.A.L.B. v.d. Laan";"D66";"J. t. Hoopen";"CDA";"2003.10.08";"http://polidocs.nl/XML/MOT/2033130.xml"
"A.K. Koekkoek";"CDA";"G.J. Schutte";"GPV";"1995.06.29";"http://polidocs.nl/XML/MOT/1859207.xml"
"J.D. Gabor";"CDA";"T. Oedayraj Singh Varma";"GL";"1996.12.02";"http://polidocs.nl/XML/MOT/1842847.xml"
"L.H.J.M. Dankers";"CDA";"B.J. v.d. Vlies";"SGP";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"A. Rouvoet";"RPF";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"F.H.H. Weekers";"VVD";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"S. v. Vliet";"D66";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"L.H.J.M. Dankers";"CDA";"R.H. Oudkerk";"PvdA";"1999.10.28";"http://polidocs.nl/XML/MOT/1817405.xml"
"J.M.A.M. d. Wit";"SP";"F. Halsema";"GL";"1998.10.15";"http://polidocs.nl/XML/MOT/1910077.xml"
"E.D.C.M. Lambrechts";"D66";"B.M. d. Vries";"VVD";"1998.11.19";"http://polidocs.nl/XML/MOT/1826252.xml"
"E.D.C.M. Lambrechts";"D66";"M.A.M. Barth";"PvdA";"1998.11.19";"http://polidocs.nl/XML/MOT/1826252.xml"
"P.E. Smeets";"PvdA";"C.B. Aptroot";"VVD";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"A.D. Bakker";"D66";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"J. t. Hoopen";"CDA";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"W. v.d. Brink";"LPF";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"E. Irrgang";"SP";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.E. Smeets";"PvdA";"C.C.M. Vendrik";"GL";"2005.11.03";"http://polidocs.nl/XML/MOT/5480428.xml"
"P.R. Stoffelen";"PvdA";"F.J. v.d. Heijden";"CDA";"1991.12.09";"http://polidocs.nl/XML/MOT/1874674.xml"
"P.R. Stoffelen";"PvdA";"H.F. Dijkstal";"VVD";"1991.12.09";"http://polidocs.nl/XML/MOT/1874674.xml"
"J.P. v. Iersel";"CDA";"A.P.W. Melkert";"PvdA";"1992.11.05";"http://polidocs.nl/XML/MOT/1871173.xml"
"J.G.C. Wiebenga";"VVD";"C.I. Dales";"PvdA";"1984.10.22";"http://polidocs.nl/XML/MOT/1971151.xml"
"A. v. Ojik";"GL";"J.W. Kersten";"PvdA";"1994.04.14";"http://polidocs.nl/XML/MOT/1863362.xml"
"A. v. Ojik";"GL";"J.d. Graaf";"CDA";"1994.04.14";"http://polidocs.nl/XML/MOT/1863362.xml"
"A. v. Ojik";"GL";"D. Eisma";"D66";"1994.04.14";"http://polidocs.nl/XML/MOT/1863362.xml"
"M. d. Boer";"PvdA";"M.J. Augusteijn-Esser";"D66";"1999.10.06";"http://polidocs.nl/XML/MOT/1818317.xml"
"M. d. Boer";"PvdA";"M.B. Vos";"GL";"1999.10.06";"http://polidocs.nl/XML/MOT/1818317.xml"
"M. d. Boer";"PvdA";"E. v. Middelkoop";"GPV";"1999.10.06";"http://polidocs.nl/XML/MOT/1818317.xml"
"A.D. Bakker";"D66";"F.J.F.M. d. Nerée t. Babberich";"CDA";"2005.06.30";"http://polidocs.nl/XML/MOT/2063071.xml"
"A.D. Bakker";"D66";"S.A. Blok";"VVD";"2005.06.30";"http://polidocs.nl/XML/MOT/2063071.xml"
"J.F. Scherpenhuizen";"VVD";"A.J. Evenhuis";"VVD";"1982.02.15";"http://polidocs.nl/XML/MOT/1969093.xml"
"T.W. Rietkerk";"CDA";"P.K. t. Veer";"D66";"1999.03.16";"http://polidocs.nl/XML/MOT/1836751.xml"
"T.W. Rietkerk";"CDA";"M.B. Vos";"GL";"1999.03.16";"http://polidocs.nl/XML/MOT/1836751.xml"
"T.W. Rietkerk";"CDA";"D.J. Stellingwerf";"RPF";"1999.03.16";"http://polidocs.nl/XML/MOT/1836751.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"L.S. Groenman";"D66";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"W.J. Willems";"PSP";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"C.I. Dales";"PvdA";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"M.A. Müller-v. Ast";"PvdA";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"B.J. v.d. Vlies";"SGP";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M.B.C. Beckers-d. Bruijn";"PPR";"M. Leerling";"RPF";"1983.06.27";"http://polidocs.nl/XML/MOT/1942926.xml"
"M. Bussemaker";"PvdA";"A.J. Schimmel";"D66";"1999.10.25";"http://polidocs.nl/XML/MOT/1821847.xml"
"A.B.M. Frinking";"CDA";"M.B.M.J. v. Vlijmen";"CDA";"1985.12.19";"http://polidocs.nl/XML/MOT/1916175.xml"
"E.L. Herfkens";"PvdA";"H. Knol";"PvdA";"1984.11.08";"http://polidocs.nl/XML/MOT/1926238.xml"
"A.D. Bakker";"D66";"V.M.C. v. Geen";"D66";"2002.12.12";"http://polidocs.nl/XML/MOT/2026761.xml"
"A.D. Bakker";"D66";"M. Bussemaker";"PvdA";"2002.12.12";"http://polidocs.nl/XML/MOT/2026761.xml"
"A.D. Bakker";"D66";"W. v. Gent";"GL";"2002.12.12";"http://polidocs.nl/XML/MOT/2026761.xml"
"J. Franssen";"VVD";"A.J. Hermes";"CDA";"1986.04.21";"http://polidocs.nl/XML/MOT/1921433.xml"
"H.M. d. Boois";"PvdA";"R.J. Tazelaar";"PvdA";"1985.12.19";"http://polidocs.nl/XML/MOT/1914783.xml"
"H.M. d. Boois";"PvdA";"A. v.d. Hek";"PvdA";"1985.12.19";"http://polidocs.nl/XML/MOT/1914783.xml"
"H.M. d. Boois";"PvdA";"H. Veldhoen";"PvdA";"1985.12.19";"http://polidocs.nl/XML/MOT/1914783.xml"
"E.I. Schippers";"VVD";"M.C.A. Smilde";"CDA";"2005.05.26";"http://polidocs.nl/XML/MOT/2060726.xml"
"C.E.G. v. Gennip";"CDA";"J.S. Voordewind";"CU";"2007.11.08";"http://polidocs.nl/XML/MOT/6190058.xml"
"C.E.G. v. Gennip";"CDA";"M.H.P. v. Dam";"PvdA";"2007.11.08";"http://polidocs.nl/XML/MOT/6190058.xml"
"J.L.A. Jansen";"PPR";"E. Nypels";"D66";"1980.05.22";"http://polidocs.nl/XML/MOT/1970145.xml"
"M.L. d. Pater-v.d. Meer";"CDA";"O.P.G. Vos";"VVD";"2001.07.03";"http://polidocs.nl/XML/MOT/1805773.xml"
"F.W.C. Castricum";"PvdA";"A. v.d. Hek";"PvdA";"1979.04.04";"http://polidocs.nl/XML/MOT/1987421.xml"
"F.W.C. Castricum";"PvdA";"M.B. Engwirda";"D66";"1979.04.04";"http://polidocs.nl/XML/MOT/1987421.xml"
"J.C.Th. v.d. Doef";"PvdA";"J.P. v. Iersel";"CDA";"1984.02.21";"http://polidocs.nl/XML/MOT/1935608.xml"
"J.C.Th. v.d. Doef";"PvdA";"H.H. Jacobse";"VVD";"1984.02.21";"http://polidocs.nl/XML/MOT/1935608.xml"
"A.D. Bakker";"D66";"F. v.d. Ploeg";"PvdA";"1995.04.27";"http://polidocs.nl/XML/MOT/1856986.xml"
"A.D. Bakker";"D66";"J.M. d. Vries";"VVD";"1995.04.27";"http://polidocs.nl/XML/MOT/1856986.xml"
"J. Buikema";"CDA";"S.C. Weijers";"CDA";"1980.05.29";"http://polidocs.nl/XML/MOT/1969551.xml"
"J. Buikema";"CDA";"W.A. Mateman";"CDA";"1980.05.29";"http://polidocs.nl/XML/MOT/1969551.xml"
"J. Franssen";"VVD";"T. Netelenbos";"PvdA";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"G. v. Leijenhorst";"CDA";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"A. Nuis";"D66";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"B.J. v.d. Vlies";"SGP";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"P.A. Lankhorst";"GL";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"G.J. Schutte";"GPV";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"J. Franssen";"VVD";"M. Leerling";"RPF";"1991.11.13";"http://polidocs.nl/XML/MOT/1875551.xml"
"W. Meijer";"PvdA";"S. Langedijk-d. Jong";"PvdA";"1980.05.14";"http://polidocs.nl/XML/MOT/1975653.xml"
"W. Meijer";"PvdA";"J.C.Th. v.d. Doef";"PvdA";"1980.05.14";"http://polidocs.nl/XML/MOT/1975653.xml"
"W. Meijer";"PvdA";"J.F. Buurmeijer";"PvdA";"1980.05.14";"http://polidocs.nl/XML/MOT/1975653.xml"
"W. Aantjes";"CDA";"J.J.P. d. Boer";"CDA";"1978.10.19";"http://polidocs.nl/XML/MOT/1989778.xml"
"W. Aantjes";"CDA";"H. Wisselink";"CDA";"1978.10.19";"http://polidocs.nl/XML/MOT/1989778.xml"
